# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
GetThreatRatio | GECK1 | reference.GetThreatRatio(actor:ref) -> float | Returns the calculated threat ratio between two specified actors. | Functions (GECK); Condition Functions; Functions (FO3)
GetTimeDead | GECK1 | [Actor].GetTimeDead() -> float | Returns how long (in hours) the actor has been dead. Returns 0 if the actor is invalid, it isn't dead, or if it isn't loaded / has been disabled.<br> If the actor gets disabled after dying, it loses its info about when it has died, meaning GetTimeDead returns 0 even if the actor is re-enabled. | Functions (GECK); Condition_Functions; Time Functions; Functions (FO3)
GetTimeStamp | LU | GetTimeStamp() -> dateTimeStamp:string | Returns a string_var containing the user's current local time in the following format: "14-50-30" (HH-mm-SS). | Functions_(JIP); Miscellaneous_Functions_(JIP); Time Functions
GetTokenRef | NVSE | Actor.GetTokenRef(Token:baseform) -> form | Returns the form value of the specified token in the inventory of the calling reference. When trying to use this as a condition function, no forms can be selected, so it ends up being useless. | Functions_(NVSE); Token Functions; Condition Functions
GetTokenValue | NVSE | Actor.GetTokenValue(Token:baseform) -> float | Returns the numeric value of the specified token in the inventory of the calling reference. | Functions_(NVSE); Token Functions; Condition Functions
GetTrespassWarningLevel | GECK1 | [actor:ref].GetTrespassWarningLevel(actor:ref) -> int | Returns the number of warnings an actor on a Guard Package (or responding to trespassing or responding to an aggro radius violation) has given the specified reference. | Functions (GECK); Condition Functions; Functions (FO3)
GetUIFloat | FOSE1 | GetUIFloat(traitName:string) -> float | Looks up a UI trait by name and returns its numeric value. The trait name is of the format "MenuName/ElementName/ElementName/.../TraitName" as defined in the XML hierarchy for the desired menu, i.e. "MessageMenu/NoGlow_Branch/MM_Title/x". Returns -999 if UI trait was not found. | Functions_(FOSE); Functions_(NVSE); UI Functions; Functions (FO3)
GetUIFloatAlt | NVSE | GetUIFloatAlt(traitName:string) -> float | Looks up a UI trait by name and returns its numeric float value. The trait name is of the format "MenuName/ElementName/ElementName/.../TraitName" as defined in the XML hierarchy for the desired menu, i.e. "MessageMenu/NoGlow_Branch/MM_Title/x". Returns -999 if UI trait was not found. Supersedes GetUIFloat, which is bugged for templated children tiles. | Functions (NVSE); UI Functions
GetUIString | JIP | GetUIString(componentPath:string) -> string_var | Returns the string value of a UI trait. The trait name is of the format "MenuName/ElementName/ElementName/.../TraitName" as defined in the XML hierarchy for the desired menu, i.e. "MessageMenu/NoGlow_Branch/MM_Title/x". | Functions_(JIP); UI Functions (JIP); UI Functions; String Functions
GetUnconscious | GECK1 | [Actor].GetUnconscious() -> int | Returns 1 if the actor has been set to an unconscious state using the SetUnconscious function. | Functions (GECK); Condition_Functions; Actor_State_Functions; Functions (FO3)
GetUsedItemActivate | GECK1 | [Actor].GetUsedItemActivate() -> int | Returns true if the actor is using/activating an item(?) | Functions (GECK); Condition_Functions; Functions (FO3)
GetUserTime | NVSE | |arguments =.GetUserTime() -> StringMap | Returns a StringMap array containing information about the time and date on the player's system. The returned StringMap has the following key/value pairs, all of which are integers: *Year (1601 - 30827) *Month (1-12) *DayOfWeek (1:Sunday - 7:Saturday) *Day (1-31) *Hour (0-23) *Minute (0-59) *Second (0-59) *Millisecond (0-999) | Functions_(NVSE); Time Functions; Array Functions
GetValueAlt | JIP | reference.GetValueAlt(baseForm:ref?) -> value:int | Similar to the NVSE GetItemValue - returns the base value of the specified object or calling reference. This function, however, also works on ingestible-type items. | Functions_(JIP); Inventory Functions (JIP); Inventory Functions; Object Functions
GetVariable | NVSE | ref.GetVariable(VarName:string, Parent:Object?) -> float | Returns the value of the numeric variable specified by name for the calling reference or specified scriptable object / quest. | Functions_(NVSE); Script Functions
GetVATSMaxEngageDistance | ShowOff | GetVATSMaxEngageDistance() -> Float | Returns the max VATS engage distance. Accounts for lStewieAl's Tweaks' 'bMaxVATSDistanceUsesWeaponRange' setting. | Functions (ShowOff NVSE); VATS Functions
GetVATSMode | GECK1 | GetVATSMode() -> int | Returns the player's current VATS view. | Functions (GECK); VATS Functions; Player Functions; Condition Functions; Functions (FO3)
GetVATSTargetable | ShowOff | reference.GetVATSTargetable() -> 1/0 | Returns 1 (true) if the calling reference is targetable in VATS, 0 (false) otherwise. Note that this accounts for more than just if the reference was set to be non-targetable via SetVATSTargetable; it checks if the reference could be targeted in general. For example, if passing a disabled reference, this function returns false. | Functions (ShowOff NVSE); Actor Functions; VATS Functions
GetVATSTargetHeight | GECK1 | GetVATSTargetHeight() -> float | Returns height of a VATS target. This is the delta z from the player to the targeted limb or bounding volume center point. | Functions (GECK); VATS Functions; Condition Functions; Functions (FO3)
GetVATSTargets | JIP | GetVATSTargets() -> VATSTargets:array_var | Returns an 'array_var' containing all targetable references in the current VATS mode. | VATS Functions; Functions (JIP); UI Functions (JIP); UI Functions; Array Functions
GetVATSValue | GECK1 | GetVATSValue(query:string, parameter:varies?) -> [varies] | The GetVATSValue condition function is available for use either when selecting a camera path, or within the Calculate To-Hit Chance entry point. Outside of VATS playback mode or Calculate To-Hit Chance, or if used in the console, the function will not return a meaningful value. When you select GetVATSValue, you have one or two additional parameters to select, the Query and an optional parameter to the Query. When used within the Calculate To-Hit Chance entry point, remember that the command has not actually taken place yet, so things like Success/Failure, critical strike info, dismembered/exploded limb or total damage are not calculated yet. However, the weapon, target, and targeted limb are available. | Functions (GECK); Condition Functions; VATS Functions; Condition Functions; Functions (FO3)
GetViewmodelClipDistance | JohnnyGuitar | GetViewmodelClipDistance() -> float | Returns the value of the near clip distance for the viewmodel (player's hands) camera. Returns 0 if value is default (SetViewmodelClipDistance is inactive). | Functions (JohnnyGuitar NVSE)
GetWalkSpeed | GECK1 | [Actor].GetWalkSpeed() -> float | Returns the Actor's walk speed | Functions (GECK); Condition_Functions; Actor Functions; Functions (FO3)
GetWaterFormEffect | LU | GetWaterFormEffect(water:ref?) -> actorEffect:ref | Returns the spell effect attached to a water form. | Functions_(JIP); Water_Functions_(JIP); Game Effect Functions
GetWaterImmersionPerc | JIP | reference.GetWaterImmersionPerc() -> immersionPerc:float | Returns a value in the range of 0.0 to 1.0, indicating the percent of the calling actor's body currently immersed in water. A value greater than 0.875 indicates the calling actor is diving (holding breath). | Functions (JIP); Actor Functions (JIP); Water Functions (JIP); Condition_Functions; Functions_(Command Extender); Functions (FO3)
GetWaterNoiseTexture | JIP | GetWaterNoiseTexture(waterType:ref) -> texturePath:string_var | Returns the 'Noise Texture' path of the specified 'Water Type'. | Functions (JIP); Water Functions (JIP)
GetWaterSound | JIP | GetWaterSound(waterType:ref) -> sound:ref | Returns the 'Open Sound' of the specified 'Water Type'. | Functions (JIP); Water Functions (JIP); Sound Functions
GetWaterTrait | JIP | GetWaterTrait(waterType:ref, traitID:int, newValue:float) | Sets the value of a numeric trait (determined by <i>traitID</i>) of the specified 'Water Type' form. | Functions (JIP); Water Functions (JIP)
GetWaterTrait | JIP | GetWaterTrait(waterType:ref, traitID:int) -> traitValue:float | Returns the value of a numeric trait (determined by <i>traitID</i>) of the specified 'Water Type' form. | Functions (JIP); Water Functions (JIP)
GetWeaponActionPoints | FOSE1 | weaponRefr.GetWeaponActionPoints(weapon:baseForm?) -> float (alias: GetAP) | Returns the number of action points per shot of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Actor Value Functions; Condition Functions; Functions (FO3)
GetWeaponAimArc | FOSE1 | weaponRefr.GetWeaponAimArc(weapon:baseform) -> float (alias: GetAimArc) | Returns the aim arc of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Condition Functions; Functions (FO3)
GetWeaponAmmo | FOSE1 | weaponRefr.GetWeaponAmmo(weapon:baseform?) -> baseForm (alias: GetAmmo) | Returns the ammo (or FormList of Ammo) used by the specified Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions_(NVSE); Functions_(FOSE); Engine Differences (Fallout); Functions (FO3); Ammo Functions; Weapon Functions
GetWeaponAmmoUse | FOSE1 | weaponRefr.GetWeaponAmmoUse(weapon:baseform) -> float (alias: GetAmmoUse) | Returns the ammo used per shot of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Condition Functions; Functions (FO3); Ammo Functions
GetWeaponAnimAttackMult | FOSE1 | weaponRefr.GetWeaponAnimAttackMult(weapon:baseform) -> float (alias: GetAnimAttackMult) | Returns the animation attack multiplier of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions; Condition Functions; Functions (FO3)
GetWeaponAnimJamTime | FOSE1 | weaponRefr.GetWeaponAnimJamTime(weapon:[[BaseForm]]) -> float (alias: GetAnimJamTime) | Returns the animation jam time of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions; Condition Functions; Functions (FO3)
GetWeaponAnimMult | FOSE1 | weaponRefr.GetWeaponAnimMult(weapon:baseform?) -> float (alias: GetAnimMult) | Returns the animation multiplier for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions; Condition Functions; Functions (FO3)
GetWeaponAnimReloadTime | FOSE1 | weaponRefr.GetWeaponAnimReloadTime(weapon:baseform?) -> float (alias: GetAnimReloadTime) | Retuns the animation reload time for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions; Condition Functions; Functions (FO3)
GetWeaponAnimShotsPerSec | FOSE1 | weaponRefr.GetWeaponAnimShotsPerSec(weapon:baseform?) -> float (alias: GetAnimShotsPerSec) | Returns the animation shots per second of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions; Condition Functions; Functions (FO3)
GetWeaponAnimType | GECK1 | [actor:ref].GetWeaponAnimType() -> int | Returns a number corresponding to the actor's current weapon animation type. See notes for return values. | Functions (GECK); Condition Functions; Animation Functions; Engine Differences (Fallout); Functions (FO3)
GetWeaponAttackAnimation | FOSE1 | weaponRefr.GetWeaponAttackAnimation(weapon:baseform?) -> int (alias: GetAttackAnim) | Returns the attack animation of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. Return values are as follows:<pre> 0: Default 1: Attack 3 2: Attack 4 3: Attack 5 4: Attack 6 5: Attack 7 6: Attack 8 7: Attack Left 8: Attack Loop 9: Attack Right 10: Attack Spin 11: Attack Spin 2 12: Attack Throw 13: Attack Throw 2 14: Attack Throw 3 15: Attack Throw 4 16: Attack Throw 5 17: Place Mine 18: Place Mine 2 19: Attack 9 20: Attack Throw 6 21: Attack Throw 7 22: Attack Throw 8</pre> | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions; Condition Functions; Functions (FO3)
GetWeaponBaseVATSChance | FOSE1 | weaponRefr.GetWeaponBaseVATSChance(weapon:baseform?) -> int (alias: GetVATSChance) | Returns the base VATS chance of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; VATS Functions; Condition Functions; Functions (FO3)
